Epoch,Step,Total,CE,feat
32,110,3.4375,3.4375,
33,0,4.09375,4.09375,
33,10,3.5,3.5,
33,20,3.09375,3.09375,
33,30,2.84375,2.84375,
33,40,2.90625,2.90625,
33,50,2.921875,2.921875,
33,60,2.859375,2.859375,
33,70,2.734375,2.734375,
33,80,3.328125,3.328125,
33,90,3.65625,3.65625,
33,100,3.65625,3.65625,
33,110,3.453125,3.453125,
34,0,4.0625,4.0625,
34,10,3.375,3.375,
34,20,2.671875,2.671875,
34,30,2.78125,2.78125,
34,40,2.828125,2.828125,
34,50,2.6875,2.6875,
34,60,2.890625,2.890625,
34,70,2.828125,2.828125,
34,80,3.328125,3.328125,
34,90,3.6875,3.6875,
34,100,3.5625,3.5625,
34,110,3.3125,3.3125,
35,0,3.921875,3.921875,
35,10,3.296875,3.296875,
35,20,2.515625,2.515625,
35,30,2.5625,2.5625,
35,40,2.75,2.75,
35,50,2.59375,2.59375,
35,60,2.84375,2.84375,
35,70,2.859375,2.859375,
35,80,3.234375,3.234375,
35,90,3.625,3.625,
35,100,3.25,3.25,
35,110,3.0,3.0,
36,0,3.65625,3.65625,
36,10,3.234375,3.234375,
36,20,2.515625,2.515625,
36,30,2.453125,2.453125,
36,40,2.6875,2.6875,
36,50,2.59375,2.59375,
36,60,2.875,2.875,
36,70,3.078125,3.078125,
36,80,2.765625,2.765625,
36,90,3.234375,3.234375,
36,100,3.078125,3.078125,
36,110,3.0,3.0,
37,0,3.296875,3.296875,
37,10,3.03125,3.03125,
37,20,2.484375,2.484375,
37,30,2.4375,2.4375,
37,40,2.578125,2.578125,
37,50,2.671875,2.671875,
37,60,2.84375,2.84375,
37,70,2.828125,2.828125,
37,80,3.203125,3.203125,
37,90,3.1875,3.1875,
37,100,2.9375,2.9375,
37,110,2.90625,2.90625,
38,0,3.21875,3.21875,
38,10,2.78125,2.78125,
38,20,2.375,2.375,
38,30,2.546875,2.546875,
38,40,2.5625,2.5625,
38,50,2.921875,2.921875,
38,60,2.71875,2.71875,
38,70,2.859375,2.859375,
38,80,3.078125,3.078125,
38,90,3.296875,3.296875,
38,100,2.90625,2.90625,
38,110,2.765625,2.765625,
39,0,3.265625,3.265625,
39,10,2.59375,2.59375,
39,20,2.234375,2.234375,
